model,pr_auc,roc_auc,f1,precision,recall,brier,threshold,policy,calibrated,fit_time_sec,inference_time_sec,best_params
xgboost,0.8571110569582548,0.9879630727996618,0.7523076923076923,0.914018691588785,0.6392156862745098,0.012229577635883088,0.48846153846153845,recall_target_0.60,True,16.759939193725586,0.0241391658782959,"{""model__learning_rate"": 0.05, ""model__max_depth"": 8, ""model__min_child_weight"": 5, ""model__n_estimators"": 400, ""model__subsample"": 0.8}"
random_forest,0.8506188726043885,0.9874082391011088,0.7027888446215139,0.9,0.5764705882352941,0.011933135328403132,0.5612244897959182,recall_target_0.60,True,73.32103180885315,0.05417585372924805,"{""model__max_depth"": 20, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
lightgbm,0.8439824022001793,0.987653977002954,0.7338017174082748,0.9108527131782945,0.6143790849673203,0.012524475925321132,0.5112359550561798,recall_target_0.60,True,96.37462329864502,0.0630338191986084,"{""model__learning_rate"": 0.05, ""model__min_child_samples"": 20, ""model__n_estimators"": 400, ""model__num_leaves"": 31, ""model__reg_lambda"": 1.0}"
gradient_boosting,0.7859339514265999,0.985857978389655,0.5805892547660312,0.8611825192802056,0.43790849673202614,0.016442878282061108,0.4868421052631579,recall_target_0.60,True,623.3061103820801,0.029511213302612305,"{""model__learning_rate"": 0.1, ""model__max_depth"": 5, ""model__n_estimators"": 200, ""model__subsample"": 1.0}"
decision_tree,0.7504068265840046,0.9319173594808023,0.7208271787296898,0.8285229202037352,0.6379084967320261,0.015099628497789244,0.3919239904988123,recall_target_0.60,True,10.895196914672852,0.009125232696533203,"{""model__max_depth"": 16, ""model__min_samples_leaf"": 50}"
logistic_regression,0.3162988442794231,0.9156390396206006,0.38749233599019006,0.3648960739030023,0.4130718954248366,0.02844568623711372,0.1044176706827309,recall_target_0.60,True,18.7608962059021,0.011816263198852539,"{""model__C"": 0.1, ""model__penalty"": ""l2""}"
majority_baseline,0.03463419051068453,,0.0,0.0,0.0,0.03463419051068453,1.1,recall_target_0.60,False,0.026106834411621094,0.021815061569213867,{}
